lon,lat
87.55111817,26.65775859
87.55047809,26.6579775
87.55034246,26.65797988
87.55058517,26.65760631
87.55002837,26.65684012
87.54920032,26.65671758
87.54925505,26.65671758
87.54932405,26.65673424
87.54939306,26.65674375
87.5492146,26.65661764
87.54928598,26.65662954
87.54935737,26.65664144
87.54941209,26.65664857
87.54949062,26.65666523
87.54976188,26.6566914
87.54968335,26.65657243
87.54935737,26.65652484
87.54915987,26.65649629
87.54916939,26.65643442
87.54976425,26.65650105
87.54987847,26.65641063
87.54968097,26.65639159
87.54957866,26.65637494
87.54946682,26.65635352
87.54932881,26.65633449
87.54925743,26.65632497
87.54919318,26.65621551
87.54944779,26.65625358
87.54988561,26.65630831
87.54998316,26.65632259
87.54998554,26.65619886
87.5498975,26.65619172
87.54963338,26.6561703
87.54964052,26.65609178
87.5500022,26.65602516
87.55007358,26.65673186
87.55046382,26.65679134
87.55055186,26.65680086
87.55066369,26.65670806
87.55059469,26.65670092
87.55048761,26.65668665
87.5501759,26.65663906
87.55007121,26.65662716
87.55009024,26.6565534
87.5503734,26.65659623
87.55050427,26.65661526
87.55068749,26.6566343
87.55020921,26.6563559
87.55026394,26.65636304
87.55033533,26.65637018
87.5506161,26.65640587
87.55075173,26.65640587
87.55084215,26.65644394
87.55086119,26.65632497
87.55079932,26.65626072
87.5507208,26.65631545
87.55066845,26.65623455
87.55042337,26.65626786
87.55014497,26.65622979
87.55016162,26.65615365
87.55021635,26.65615841
87.55018066,26.65605371
87.55024966,26.65605847
87.55031391,26.65606799
87.5503734,26.65608226
87.55044478,26.65608702
87.55051378,26.65609416
87.55071366,26.65612509
87.55086119,26.65613699
87.5509754,26.65647249
87.55098968,26.65636542
87.55101109,26.65628452
87.55107534,26.65628928
87.55114434,26.6563678
87.55102299,26.65615841
87.55108961,26.65607274
87.55118955,26.65607988
87.5510682,26.65588477
87.55113244,26.65588715
87.55126332,26.65597995
87.55135611,26.65598233
87.55019256,26.65594425
87.5505471,26.65588001
87.55079218,26.6559157
87.55091115,26.65604657
87.55086832,26.65584432
87.55034722,26.65586573
87.55021397,26.65575985
87.55064941,26.65582409
87.55058517,26.6556956
87.55093971,26.65575985
87.55091591,26.65565991
87.55082311,26.65563611
87.55030201,26.65565277
87.55032343,26.65556235
87.55026156,26.65544338
87.55099444,26.65554807
87.55123238,26.6558003
87.55132042,26.65570512
87.55132756,26.65560042
87.55134184,26.65551238
87.55126807,26.65551238
87.55117527,26.65527919
87.55138229,26.65531727
87.55100871,26.65547431
87.55093733,26.65547193
87.55083025,26.65532916
87.55065655,26.65521257
87.55035912,26.65497462
87.55049475,26.65500318
87.55068749,26.65502935
87.55103251,26.65507932
87.55104678,26.6551745
87.55103013,26.65528395
87.55120145,26.65516498
87.55126094,26.65517926
87.55135373,26.65510311
87.55122524,26.6549889
87.55128949,26.6549889
87.55137515,26.65501507
87.55100633,26.65496749
87.55109199,26.65498414
87.54931216,26.65553618
87.54930026,26.65542434
87.54927647,26.6550127
87.54942161,26.65530299
87.54920032,26.65489253
87.54932167,26.65482829
87.54915749,26.65469742
87.54924077,26.65470931
87.54917177,26.65459986
87.54926933,26.654607
87.54922888,26.65449992
87.55024015,26.65474263
87.55031867,26.65475214
87.55044478,26.65488301
87.55063752,26.65489015
87.55066607,26.65480687
87.55075887,26.65481163
87.55112531,26.65474976
87.55092305,26.65472359
87.55093733,26.65465459
87.55114434,26.65467124
87.55131804,26.65459272
87.55138229,26.65449992
87.55027346,26.65463793
87.55035436,26.65457368
87.55037102,26.65445947
87.55050903,26.65448564
87.55053044,26.65439047
87.55058993,26.65439998
87.550697,26.6544095
87.55086595,26.65451182
87.5508707,26.65442854
87.55096826,26.65444043
87.55110151,26.65447375
87.55058517,26.65426673
87.55083977,26.65431432
87.55090164,26.6543167
